Family ID	FRAX08<12>	<33>	FRAX05<50>	FRAX25<26>	Mguttatus<58>	<25>	FRAX14<48>	<21>	<27>	<31>	<23>	FRAX15<18>	<35>	<37>	FRAX32<2>	FRAX21<28>	FRAX33<52>	Oeuropea<56>	FRAX26<46>	FRAX16<16>	FRAX03<40>	FRAX07<8>	FRAX23<24>	FRAX31<54>	<11>	<39>	FRAX09<42>	FRAX19<30>	<13>	FRAX12<6>	<49>	<17>	<43>	<15>	<19>	FRAX29<10>	<9>	<55>	<47>	FRAX01<14>	FRAX00<20>	FRAX13<44>	FRAX20<32>	<45>	<57>	Slycopersicum<60>	<3>	FRAX30<0>	<53>	FRAX27<36>	<51>	FRAX04<38>	<1>	<7>	FRAX11<34>	<41>	<29>	FRAX28<4>	FRAX06<22>	<5>
38694	15	17	17	14	9	17	16	17	17	17	17	13	18	17	13	13	18	22	17	12	15	17	14	15	17	17	21	19	17	15	17	16	17	15	17	15	17	20	17	15	19	16	12	17	19	13	16	17	20	16	17	16	16	17	20	17	17	17	18	16
40648	14	17	19	17	10	18	14	18	18	17	18	15	16	17	16	17	14	20	17	15	17	19	17	15	18	17	19	17	18	14	17	17	17	17	18	16	18	19	17	17	18	16	14	17	14	3	16	16	19	15	17	16	16	18	16	17	18	15	18	16
39434	15	17	13	14	10	17	16	17	17	16	17	15	17	17	17	16	17	19	18	17	17	16	15	16	17	17	16	15	17	12	17	17	17	17	17	16	16	19	17	16	17	17	13	17	18	11	15	16	19	16	17	18	16	16	16	17	17	13	17	15
1681	15	17	17	13	9	17	17	17	17	17	17	17	17	17	13	14	20	18	17	13	18	15	15	16	17	17	15	17	17	13	17	17	17	16	17	15	16	18	17	17	18	17	15	17	16	10	15	15	18	17	17	15	15	16	17	17	17	15	17	15
12100	22	12	12	14	11	19	16	20	17	12	20	19	11	12	19	10	13	13	14	19	16	14	16	11	19	13	14	10	19	19	13	20	14	21	20	20	19	16	14	26	20	13	11	14	17	11	19	21	16	10	13	12	19	19	11	14	17	18	21	19
933	15	17	17	14	4	17	14	17	17	17	17	16	18	17	18	14	17	18	15	14	16	16	13	16	17	17	17	18	17	16	17	16	16	14	17	16	17	18	15	14	19	16	16	16	12	7	17	17	18	18	17	16	17	17	18	16	17	13	17	17
26158	15	16	15	19	8	18	16	18	18	16	18	21	15	16	18	16	15	15	15	16	15	14	17	15	18	16	14	13	18	18	16	18	15	16	18	14	17	17	16	16	18	13	17	16	14	7	18	18	17	14	16	16	18	17	14	15	18	16	14	18
5317	14	16	13	14	11	16	15	16	17	16	16	14	16	16	15	16	16	23	15	15	12	16	14	16	16	16	16	14	16	13	16	16	16	15	16	13	16	21	15	15	17	17	16	16	23	20	16	17	21	16	16	16	16	16	16	16	17	17	16	16
34859	17	17	17	18	10	17	15	16	17	17	16	18	17	17	17	12	16	7	16	12	16	17	15	16	17	17	18	17	17	13	17	16	17	15	16	19	17	15	16	16	14	17	14	17	17	13	16	14	15	18	17	15	16	17	17	17	17	16	15	16
32683	15	16	15	18	7	17	14	17	17	16	17	15	16	16	18	15	15	24	13	15	16	17	15	16	17	16	16	15	17	11	16	17	16	16	17	15	17	20	14	16	17	16	15	16	15	7	17	16	20	16	16	15	17	17	17	16	17	17	17	16
